Brand,URL,Brand_URL_Part
100BON,https://www.douglas.pl/pl/b/100bon/b5914,b5914
111Skin,https://www.douglas.pl/pl/b/111skin/b4740,b4740
18.21 Man Made,https://www.douglas.pl/pl/b/1821-man-made/bp005,bp005
19-69,https://www.douglas.pl/pl/b/19-69/bf807,bf807
1o1 Barbers,https://www.douglas.pl/pl/b/1o1-barbers/bb090,bb090
27 87 perfumes,https://www.douglas.pl/pl/b/27-87-perfumes/bf344,bf344
3Deluxe,https://www.douglas.pl/pl/b/3deluxe/bb092,bb092
3INA,https://www.douglas.pl/pl/b/3ina/b2288,b2288
3LAB,https://www.douglas.pl/pl/b/3lab/ba243,ba243
4711,https://www.douglas.pl/pl/b/4711/b0947,b0947
4711 Acqua Colonia,https://www.douglas.pl/pl/b/4711-acqua-colonia/b3643,b3643
4organic,https://www.douglas.pl/pl/b/4organic/b1564,b1564
7days,https://www.douglas.pl/pl/b/7days/b1275,b1275
A4 Cosmetics,https://www.douglas.pl/pl/b/a4-cosmetics/bc266,bc266
aaa/unbranded,https://www.douglas.pl/pl/b/aaa-unbranded/b2903,b2903
AA COSMETICS,https://www.douglas.pl/pl/b/aa-cosmetics/b2129,b2129
Abercrombie & Fitch,https://www.douglas.pl/pl/b/abercrombie-fitch/b5356,b5356
About Me,https://www.douglas.pl/pl/b/about-me/bf646,bf646
Absolument Parfumeur,https://www.douglas.pl/pl/b/absolument-parfumeur/ba527,ba527
ACARAA,https://www.douglas.pl/pl/b/acaraa/b6325,b6325
ACCENDIS,https://www.douglas.pl/pl/b/accendis/ba256,ba256
Accentra,https://www.douglas.pl/pl/b/accentra/bp004,bp004
Acqua del Garda,https://www.douglas.pl/pl/b/acqua-del-garda/ba886,ba886
Acqua di Parma,https://www.douglas.pl/pl/b/acqua-di-parma/b0598,b0598
Acqua di Stresa,https://www.douglas.pl/pl/b/acqua-di-stresa/b4741,b4741
Adaptology,https://www.douglas.pl/pl/b/adaptology/bd596,bd596
Add-on beauty,https://www.douglas.pl/pl/b/add-on-beauty/bp006,bp006
adidas,https://www.douglas.pl/pl/b/adidas/b3267,b3267
Adrian,https://www.douglas.pl/pl/b/adrian/b4452,b4452
AEMIUM,https://www.douglas.pl/pl/b/aemium/b7684,b7684
Aeos,https://www.douglas.pl/pl/b/aeos/b6511,b6511
Aerin,https://www.douglas.pl/pl/b/aerin/b0198,b0198
Aesop,https://www.douglas.pl/pl/b/aesop/b3844,b3844
Aether,https://www.douglas.pl/pl/b/aether/b5661,b5661
Affect,https://www.douglas.pl/pl/b/affect/b9971,b9971
AGELXR,https://www.douglas.pl/pl/b/agelxr/bp007,bp007
AGGIE,https://www.douglas.pl/pl/b/aggie/b8439,b8439
AHAVA,https://www.douglas.pl/pl/b/ahava/b3531,b3531
Aigner,https://www.douglas.pl/pl/b/aigner/b0979,b0979
Ailoria,https://www.douglas.pl/pl/b/ailoria/b6740,b6740
Alcina,https://www.douglas.pl/pl/b/alcina/ba529,ba529
Alepia,https://www.douglas.pl/pl/b/alepia/bp008,bp008
Alessandro,https://www.douglas.pl/pl/b/alessandro/b0413,b0413
Alessi,https://www.douglas.pl/pl/b/alessi/b2287,b2287
Alexandre.J,https://www.douglas.pl/pl/b/alexandrej/b5668,b5668
Alex Simone,https://www.douglas.pl/pl/b/alex-simone/b5846,b5846
ALFAPARF MILANO,https://www.douglas.pl/pl/b/alfaparf-milano/bc917,bc917
Alfaparf Milano,https://www.douglas.pl/pl/b/alfaparf-milano/b1005,b1005
Alfa Romeo,https://www.douglas.pl/pl/b/alfa-romeo/b7706,b7706
Algenist,https://www.douglas.pl/pl/b/algenist/b5196,b5196
Alkmie,https://www.douglas.pl/pl/b/alkmie/b3726,b3726
Allies of Skin,https://www.douglas.pl/pl/b/allies-of-skin/b6185,b6185
All Tigers,https://www.douglas.pl/pl/b/all-tigers/b2217,b2217
Aloesove,https://www.douglas.pl/pl/b/aloesove/b0909,b0909
Alpecin,https://www.douglas.pl/pl/b/alpecin/bb050,bb050
Alterna,https://www.douglas.pl/pl/b/alterna/b2203,b2203
Alvarez Gomez,https://www.douglas.pl/pl/b/alvarez-gomez/bb020,bb020
Alyssa Ashley,https://www.douglas.pl/pl/b/alyssa-ashley/b0081,b0081
American Crew,https://www.douglas.pl/pl/b/american-crew/b0776,b0776
Amika,https://www.douglas.pl/pl/b/amika/bd129,bd129
Amouage,https://www.douglas.pl/pl/b/amouage/b1182,b1182
Anastasia Beverly Hills,https://www.douglas.pl/pl/b/anastasia-beverly-hills/b1687,b1687
Angel Schlesser,https://www.douglas.pl/pl/b/angel-schlesser/bc832,bc832
ANGRY BEARDS,https://www.douglas.pl/pl/b/angry-beards/b8201,b8201
Animal Island,https://www.douglas.pl/pl/b/animal-island/b0132,b0132
Annabelle Minerals,https://www.douglas.pl/pl/b/annabelle-minerals/b9347,b9347
Annayake,https://www.douglas.pl/pl/b/annayake/b0530,b0530
ANNEMARIE BöRLIND,https://www.douglas.pl/pl/b/annemarie-boerlind/b1144,b1144
Anne Möller,https://www.douglas.pl/pl/b/anne-moeller/bc838,bc838
Annick Goutal,https://www.douglas.pl/pl/b/annick-goutal/b8410,b8410
Anny,https://www.douglas.pl/pl/b/anny/b1716,b1716
Anthony,https://www.douglas.pl/pl/b/anthony/ba437,ba437
Antipodes,https://www.douglas.pl/pl/b/antipodes/ba438,ba438
ANTONIO AXU,https://www.douglas.pl/pl/b/antonio-axu/b2902,b2902
Antwerp Avenue,https://www.douglas.pl/pl/b/antwerp-avenue/bb014,bb014
Anua,https://www.douglas.pl/pl/b/anua/bf581,bf581
A'Pieu,https://www.douglas.pl/pl/b/apieu/b3995,b3995
Apis,https://www.douglas.pl/pl/b/apis/b5234,b5234
APLB,https://www.douglas.pl/pl/b/aplb/bf806,bf806
Apoem,https://www.douglas.pl/pl/b/apoem/bc273,bc273
Apot.Care,https://www.douglas.pl/pl/b/apotcare/b3814,b3814
Apricot,https://www.douglas.pl/pl/b/apricot/b5896,b5896
Aramis,https://www.douglas.pl/pl/b/aramis/b0077,b0077
ARCADIAN GROOMING,https://www.douglas.pl/pl/b/arcadian-grooming/b5640,b5640
Ardell,https://www.douglas.pl/pl/b/ardell/b1458,b1458
Arganicare,https://www.douglas.pl/pl/b/arganicare/bp011,bp011
Ariana Grande,https://www.douglas.pl/pl/b/ariana-grande/b5068,b5068
Armani,https://www.douglas.pl/pl/b/armani/b0014,b0014
Armani Exchange,https://www.douglas.pl/pl/b/armani-exchange/ba151,ba151
Arquiste,https://www.douglas.pl/pl/b/arquiste/b3257,b3257
ARTDECO,https://www.douglas.pl/pl/b/artdeco/b0180,b0180
Art de Parfum,https://www.douglas.pl/pl/b/art-de-parfum/bc275,bc275
Artego,https://www.douglas.pl/pl/b/artego/bb086,bb086
Artemis,https://www.douglas.pl/pl/b/artemis/b2202,b2202
ASABI,https://www.douglas.pl/pl/b/asabi/be100,be100
